date,open,high,low,close,volume
3/10/1999,43.9646,43.9646,43.234,43.8787,5232000
3/11/1999,44.2225,44.4803,43.234,44.0936,9688600
3/12/1999,43.9646,43.9646,42.6796,43.0191,8743600
3/15/1999,43.363,44.3084,42.8945,44.2655,6369000
3/16/1999,44.4374,44.8241,43.9646,44.6522,4905800
3/17/1999,44.6522,44.6952,44.1795,44.3084,3965000
3/18/1999,44.2655,45.2109,44.2655,45.168,4848400
3/19/1999,45.7696,45.7696,44.0076,44.0076,7160400
3/22/1999,44.2225,44.3084,43.4059,43.4919,5024800
3/23/1999,43.234,43.4059,41.876,41.9576,10962400
3/24/1999,42.3315,43.4059,41.6869,43.363,8447000
3/25/1999,44.0506,44.9531,43.7497,44.9531,8133800
3/26/1999,44.6093,45.082,44.3084,44.4803,8256200
3/29/1999,45.039,46.1134,44.7382,46.1134,5113800
3/30/1999,46.0275,46.4143,45.5977,45.7696,4940600
3/31/1999,46.5432,46.5862,44.9531,45.082,8256600
4/1/1999,46.4143,46.4572,45.2969,46.0275,8715800
4/5/1999,46.801,47.7895,46.5002,47.7035,5697200
4/6/1999,47.6606,48.3052,47.2308,47.7895,7522400
4/7/1999,48.2622,48.3482,46.2853,47.3168,11923600
4/8/1999,47.2308,47.9184,46.2424,47.6606,7952400
4/9/1999,47.6176,48.0903,47.4457,47.9614,4946800
4/12/1999,46.844,47.9614,46.801,47.6606,10934000
4/13/1999,47.9614,48.0474,46.6291,47.0159,9962200
4/14/1999,47.6176,47.6606,45.125,45.3828,21253800
4/15/1999,45.5547,46.0705,43.9646,46.0275,17650600
4/16/1999,45.8985,45.8985,44.4374,44.6522,17274000
4/19/1999,44.9531,45.3399,42.1252,42.5722,19460600
4/20/1999,42.3874,43.8787,41.9834,43.5349,17413600
4/21/1999,43.9646,45.7266,43.363,45.6837,10940400
4/22/1999,46.1134,47.0589,45.8126,46.93,13630600
4/23/1999,46.6721,47.8755,46.1994,47.5316,7064400
4/26/1999,47.8755,48.9928,47.7035,48.649,5421000
4/27/1999,48.9928,49.2507,47.2738,47.8755,16482800
4/28/1999,47.4887,47.6606,46.0275,46.2424,7676800
4/29/1999,46.0275,46.3283,44.9101,45.8985,19148200
4/30/1999,46.5432,46.7581,44.5233,46.1564,15295200
5/3/1999,46.0275,46.2424,45.168,45.9415,11109800
5/4/1999,46.0275,46.7581,44.9531,45.2109,15428400
5/5/1999,45.2539,46.5862,43.8787,46.5862,12642600
5/6/1999,46.1564,46.5432,44.4374,44.8671,15173400
5/7/1999,45.2969,45.6837,44.3084,45.5118,16430400
5/10/1999,45.8126,46.2853,45.2969,45.9845,10604200
5/11/1999,46.3713,46.973,46.1134,46.7151,8800800
5/12/1999,46.93,47.8325,45.5547,47.6606,12507400
5/13/1999,48.0474,48.1333,46.5862,46.801,9864000
